# Exported TensorBoard events
# Source: /Users/saharshgoenka/Documents/env-highway/CS269-Parking/logs/PPO_6/events.out.tfevents.1764220830.Mac.lan1.33455.0
# Exported: 2025-11-28T14:06:11.406006

## Scalars

[rollout/ep_len_mean]
step=178176	wall_time=2025-11-26T21:32:26.532251	value=14.710000038146973
step=180224	wall_time=2025-11-26T21:32:36.782184	value=14.670000076293945
step=182272	wall_time=2025-11-26T21:32:46.207323	value=14.680000305175781
step=184320	wall_time=2025-11-26T21:32:55.936973	value=14.520000457763672
step=186368	wall_time=2025-11-26T21:33:05.500193	value=14.609999656677246
step=188416	wall_time=2025-11-26T21:33:13.792782	value=14.670000076293945
step=190464	wall_time=2025-11-26T21:33:21.452544	value=14.680000305175781
step=192512	wall_time=2025-11-26T21:33:28.599935	value=14.449999809265137
step=194560	wall_time=2025-11-26T21:33:38.024235	value=14.460000038146973
step=196608	wall_time=2025-11-26T21:33:45.728198	value=14.5600004196167
step=198656	wall_time=2025-11-26T21:33:53.257523	value=14.510000228881836
step=200704	wall_time=2025-11-26T21:34:00.242412	value=14.640000343322754
step=202752	wall_time=2025-11-26T21:34:08.150675	value=14.470000267028809
step=204800	wall_time=2025-11-26T21:34:16.091184	value=14.710000038146973
step=206848	wall_time=2025-11-26T21:34:23.367114	value=14.489999771118164
step=208896	wall_time=2025-11-26T21:34:32.032138	value=14.4399995803833
step=210944	wall_time=2025-11-26T21:34:39.533353	value=14.65999984741211
step=212992	wall_time=2025-11-26T21:34:47.481140	value=14.640000343322754
step=215040	wall_time=2025-11-26T21:34:55.041201	value=14.479999542236328
step=217088	wall_time=2025-11-26T21:35:04.897786	value=14.609999656677246
step=219136	wall_time=2025-11-26T21:35:21.793132	value=14.59000015258789
step=221184	wall_time=2025-11-26T21:35:30.780627	value=14.65999984741211
step=223232	wall_time=2025-11-26T21:35:39.514759	value=14.609999656677246
step=225280	wall_time=2025-11-26T21:35:51.021134	value=14.729999542236328
step=227328	wall_time=2025-11-26T21:35:58.813784	value=14.65999984741211
step=229376	wall_time=2025-11-26T21:36:08.306138	value=14.699999809265137
step=231424	wall_time=2025-11-26T21:36:17.314008	value=14.5600004196167
step=233472	wall_time=2025-11-26T21:36:31.183794	value=14.59000015258789
step=235520	wall_time=2025-11-26T21:36:46.760408	value=14.619999885559082
step=237568	wall_time=2025-11-26T21:37:02.905028	value=14.579999923706055
step=239616	wall_time=2025-11-26T21:37:15.931245	value=14.5600004196167
step=241664	wall_time=2025-11-26T21:37:27.875923	value=14.649999618530273
step=243712	wall_time=2025-11-26T21:37:39.095796	value=14.609999656677246
step=245760	wall_time=2025-11-26T21:37:52.665601	value=14.489999771118164
step=247808	wall_time=2025-11-26T21:38:05.230710	value=14.600000381469727
step=249856	wall_time=2025-11-26T21:38:16.756065	value=14.59000015258789
step=251904	wall_time=2025-11-26T21:38:29.632778	value=14.5600004196167
step=253952	wall_time=2025-11-26T21:38:42.493892	value=14.600000381469727
step=256000	wall_time=2025-11-26T21:38:53.590162	value=14.609999656677246
step=258048	wall_time=2025-11-26T21:39:01.828441	value=14.510000228881836
step=260096	wall_time=2025-11-26T21:39:10.265866	value=14.720000267028809
step=262144	wall_time=2025-11-26T21:39:21.939826	value=14.699999809265137
step=264192	wall_time=2025-11-26T21:39:30.267294	value=14.5600004196167
step=266240	wall_time=2025-11-26T21:39:38.085110	value=14.710000038146973
step=268288	wall_time=2025-11-26T21:39:48.111332	value=14.609999656677246
step=270336	wall_time=2025-11-26T21:40:01.158831	value=14.59000015258789
step=272384	wall_time=2025-11-26T21:40:12.448235	value=14.520000457763672
step=274432	wall_time=2025-11-26T21:40:22.449115	value=14.449999809265137
step=276480	wall_time=2025-11-26T21:40:31.715046	value=14.619999885559082
step=278528	wall_time=2025-11-26T21:40:41.468555	value=14.529999732971191
step=280576	wall_time=2025-11-26T21:40:52.320014	value=14.779999732971191
step=282624	wall_time=2025-11-26T21:41:01.094492	value=14.619999885559082
step=284672	wall_time=2025-11-26T21:41:09.984973	value=14.640000343322754
step=286720	wall_time=2025-11-26T21:41:21.031386	value=14.550000190734863
step=288768	wall_time=2025-11-26T21:41:32.105154	value=14.729999542236328
step=290816	wall_time=2025-11-26T21:41:41.134906	value=14.529999732971191
step=292864	wall_time=2025-11-26T21:41:49.961944	value=14.640000343322754
step=294912	wall_time=2025-11-26T21:41:59.415015	value=14.680000305175781
step=296960	wall_time=2025-11-26T21:42:08.979204	value=14.520000457763672
step=299008	wall_time=2025-11-26T21:42:20.146229	value=14.619999885559082
step=301056	wall_time=2025-11-26T21:42:32.291646	value=14.479999542236328
step=303104	wall_time=2025-11-26T21:42:43.973084	value=14.479999542236328
step=305152	wall_time=2025-11-26T21:42:55.351549	value=14.539999961853027
step=307200	wall_time=2025-11-26T21:43:06.082002	value=14.470000267028809
step=309248	wall_time=2025-11-26T21:43:17.902898	value=14.649999618530273
step=311296	wall_time=2025-11-26T21:43:28.663243	value=14.569999694824219
step=313344	wall_time=2025-11-26T21:43:39.303866	value=14.489999771118164
step=315392	wall_time=2025-11-26T21:43:50.801497	value=14.579999923706055
step=317440	wall_time=2025-11-26T21:44:00.888306	value=14.420000076293945
step=319488	wall_time=2025-11-26T21:44:10.934882	value=14.619999885559082
step=321536	wall_time=2025-11-26T21:44:21.181724	value=14.550000190734863
step=323584	wall_time=2025-11-26T21:44:31.476504	value=14.670000076293945
step=325632	wall_time=2025-11-26T21:44:40.301639	value=14.65999984741211
step=327680	wall_time=2025-11-26T21:44:49.655452	value=14.609999656677246
step=329728	wall_time=2025-11-26T21:44:58.900397	value=14.59000015258789
step=331776	wall_time=2025-11-26T21:45:08.151855	value=14.75
step=333824	wall_time=2025-11-26T21:45:17.612648	value=14.550000190734863
step=335872	wall_time=2025-11-26T21:45:26.597763	value=14.710000038146973
step=337920	wall_time=2025-11-26T21:45:35.720067	value=14.489999771118164
step=339968	wall_time=2025-11-26T21:45:45.172477	value=14.510000228881836
step=342016	wall_time=2025-11-26T21:45:56.290238	value=14.609999656677246
step=344064	wall_time=2025-11-26T21:46:08.420250	value=14.6899995803833
step=346112	wall_time=2025-11-26T21:46:18.917666	value=14.569999694824219
step=348160	wall_time=2025-11-26T21:46:28.525327	value=14.539999961853027
step=350208	wall_time=2025-11-26T21:46:38.607025	value=14.65999984741211
step=352256	wall_time=2025-11-26T21:46:48.356753	value=14.770000457763672
step=354304	wall_time=2025-11-26T21:46:58.099341	value=14.680000305175781
step=356352	wall_time=2025-11-26T21:47:08.477606	value=14.739999771118164
step=358400	wall_time=2025-11-26T21:47:19.061746	value=14.59000015258789
step=360448	wall_time=2025-11-26T21:47:29.199840	value=14.649999618530273
step=362496	wall_time=2025-11-26T21:47:38.266163	value=14.670000076293945
step=364544	wall_time=2025-11-26T21:47:47.733949	value=14.800000190734863
step=366592	wall_time=2025-11-26T21:48:00.645205	value=14.630000114440918
step=368640	wall_time=2025-11-26T21:48:15.517647	value=14.859999656677246
step=370688	wall_time=2025-11-26T21:48:26.671192	value=14.75
step=372736	wall_time=2025-11-26T21:48:37.641369	value=14.399999618530273
step=374784	wall_time=2025-11-26T21:48:47.825617	value=14.65999984741211
step=376832	wall_time=2025-11-26T21:48:58.404162	value=14.649999618530273
step=378880	wall_time=2025-11-26T21:49:07.733592	value=14.510000228881836
step=380928	wall_time=2025-11-26T21:49:20.561554	value=14.699999809265137
step=382976	wall_time=2025-11-26T21:49:29.640747	value=14.770000457763672
step=385024	wall_time=2025-11-26T21:49:38.445910	value=14.5600004196167
step=387072	wall_time=2025-11-26T21:49:47.694616	value=14.619999885559082
step=389120	wall_time=2025-11-26T21:49:56.092693	value=14.720000267028809
step=391168	wall_time=2025-11-26T21:50:03.287183	value=14.899999618530273
step=393216	wall_time=2025-11-26T21:50:11.202455	value=14.729999542236328
step=395264	wall_time=2025-11-26T21:50:20.902495	value=14.640000343322754
step=397312	wall_time=2025-11-26T21:50:30.655245	value=14.680000305175781
step=399360	wall_time=2025-11-26T21:50:39.979300	value=14.770000457763672
step=401408	wall_time=2025-11-26T21:50:50.082725	value=14.720000267028809
step=403456	wall_time=2025-11-26T21:50:59.580029	value=14.800000190734863
step=405504	wall_time=2025-11-26T21:51:08.855346	value=14.670000076293945
step=407552	wall_time=2025-11-26T21:51:19.233417	value=14.600000381469727
step=409600	wall_time=2025-11-26T21:51:29.144302	value=14.609999656677246
step=411648	wall_time=2025-11-26T21:51:38.596044	value=14.789999961853027
step=413696	wall_time=2025-11-26T21:51:48.417037	value=14.720000267028809
step=415744	wall_time=2025-11-26T21:51:58.271793	value=14.760000228881836
step=417792	wall_time=2025-11-26T21:52:07.700118	value=14.649999618530273
step=419840	wall_time=2025-11-26T21:52:16.654528	value=14.869999885559082
step=421888	wall_time=2025-11-26T21:52:26.363799	value=14.899999618530273
step=423936	wall_time=2025-11-26T21:52:36.155146	value=14.710000038146973
step=425984	wall_time=2025-11-26T21:52:48.626657	value=14.6899995803833
step=428032	wall_time=2025-11-26T21:53:05.143927	value=14.890000343322754
step=430080	wall_time=2025-11-26T21:53:19.427330	value=14.649999618530273
step=432128	wall_time=2025-11-26T21:53:30.185982	value=14.6899995803833
step=434176	wall_time=2025-11-26T21:53:40.681676	value=14.640000343322754
step=436224	wall_time=2025-11-26T21:53:51.947142	value=14.619999885559082
step=438272	wall_time=2025-11-26T21:54:00.762413	value=14.710000038146973
step=440320	wall_time=2025-11-26T21:54:11.023056	value=14.680000305175781
step=442368	wall_time=2025-11-26T21:54:20.716786	value=14.699999809265137
step=444416	wall_time=2025-11-26T21:54:33.444616	value=14.760000228881836
step=446464	wall_time=2025-11-26T21:54:45.046166	value=14.640000343322754
step=448512	wall_time=2025-11-26T21:54:58.020208	value=14.420000076293945
step=450560	wall_time=2025-11-26T21:55:09.174931	value=14.75
step=452608	wall_time=2025-11-26T21:55:21.409544	value=14.789999961853027
step=454656	wall_time=2025-11-26T21:55:33.187218	value=14.649999618530273
step=456704	wall_time=2025-11-26T21:55:44.913728	value=14.649999618530273
step=458752	wall_time=2025-11-26T21:55:55.685606	value=14.59000015258789
step=460800	wall_time=2025-11-26T21:56:06.406613	value=14.710000038146973
step=462848	wall_time=2025-11-26T21:56:18.347043	value=14.729999542236328
step=464896	wall_time=2025-11-26T21:56:30.185483	value=14.579999923706055
step=466944	wall_time=2025-11-26T21:56:42.176172	value=14.630000114440918
step=468992	wall_time=2025-11-26T21:56:53.956309	value=14.770000457763672
step=471040	wall_time=2025-11-26T21:57:05.261984	value=14.609999656677246
step=473088	wall_time=2025-11-26T21:57:23.910276	value=14.609999656677246
step=475136	wall_time=2025-11-26T21:57:36.271795	value=14.5600004196167
step=477184	wall_time=2025-11-26T21:57:56.785498	value=14.739999771118164
step=479232	wall_time=2025-11-26T21:58:11.990587	value=14.609999656677246
step=481280	wall_time=2025-11-26T21:58:32.339686	value=14.640000343322754
step=483328	wall_time=2025-11-26T21:58:53.639617	value=14.84000015258789
step=485376	wall_time=2025-11-26T21:59:13.504629	value=14.489999771118164
step=487424	wall_time=2025-11-26T21:59:32.061074	value=14.5600004196167
step=489472	wall_time=2025-11-26T21:59:49.755786	value=14.569999694824219
step=491520	wall_time=2025-11-26T22:00:05.623894	value=14.399999618530273
step=493568	wall_time=2025-11-26T22:00:20.249449	value=14.569999694824219
step=495616	wall_time=2025-11-26T22:00:36.644904	value=14.680000305175781
step=497664	wall_time=2025-11-26T22:00:52.256234	value=14.550000190734863
step=499712	wall_time=2025-11-26T22:01:06.930217	value=14.529999732971191
step=501760	wall_time=2025-11-26T22:01:22.179927	value=14.449999809265137
step=503808	wall_time=2025-11-26T22:01:36.523605	value=14.680000305175781
step=505856	wall_time=2025-11-26T22:01:51.469540	value=14.779999732971191
step=507904	wall_time=2025-11-26T22:02:05.220447	value=14.670000076293945
step=509952	wall_time=2025-11-26T22:02:21.097209	value=14.670000076293945
step=512000	wall_time=2025-11-26T22:02:34.509905	value=14.90999984741211
step=514048	wall_time=2025-11-26T22:02:49.344449	value=14.75
